# date		time        	온도	input	output  dev01	dev02	dev03	dev04	dev05	dev06	dev07	dev08	dev09	dev10	GOOD
2025.07.10	17:24:31	22.06	+18	+24	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+30 	+5	4.90	4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85	A
2025.07.10	17:24:31	22.06	+30	+15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+30	-15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+30	+24	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A

# date		time        	온도	input	output  dev01	dev02	dev03	dev04	dev05	dev06	dev07	dev08	dev09	dev10	GOOD
2025.07.10	17:24:31	22.06	+24 	+5	4.90	4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85	A
2025.07.10	17:24:31	22.06	+24	+15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+24	-15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+24	+24	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+18 	+5	4.90	4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85	A
2025.07.10	17:24:31	22.06	+18	+15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+18	-15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+18	+24	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+30 	+5	4.90	4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85	A
2025.07.10	17:24:31	22.06	+30	+15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+30	-15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+30	+24	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A

# date		time        	온도	input	output  dev01	dev02	dev03	dev04	dev05	dev06	dev07	dev08	dev09	dev10	GOOD
2025.07.10	17:24:31	22.06	+24 	+5	4.90	4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85	A
2025.07.10	17:24:31	22.06	+24	+15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+24	-15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+24	+24	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+18 	+5	4.90	4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85	A
2025.07.10	17:24:31	22.06	+18	+15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+18	-15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+18	+24	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+30 	+5	4.90	4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85	A
2025.07.10	17:24:31	22.06	+30	+15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+30	-15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+30	+24	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A

# date		time        	온도	input	output  dev01	dev02	dev03	dev04	dev05	dev06	dev07	dev08	dev09	dev10	GOOD
2025.07.10	17:24:31	22.06	+24 	+5	4.90	4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85	A
2025.07.10	17:24:31	22.06	+24	+15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+24	-15	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
2025.07.10	17:24:31	22.06	+24	+24	4.90    4.21    4.81    4.91    4.71    5.11    5.22    5.01    5.09    4.85    A
